"country","iso3","year","region","population","production_co2","consumption_co2","net_embodied_carbon","production_co2_per_capita","consumption_co2_per_capita","net_embodied_carbon_per_capita","responsibility_type","longitude","latitude","iso_num"
"Thailand","THA","2001","Asia","63651137","0.172","0.156","-0.016","2.71","2.46","-0.25","net_exporter","101","15","764"
"Turkey","TUR","2001","Europe/Asia","66245125","0.217","0.204","-0.013","3.27","3.08","-0.19","balanced","35","39","792"
"Ukraine","UKR","2001","Europe","49106854","0.304","0.255","-0.049","6.19","5.18","-1.01","net_exporter","31","49","804"
"United Arab Emirates","ARE","2001","Middle East","3723596","0.102","0.09","-0.012","27.36","24.09","-3.27","net_exporter","54","24","784"
"United Kingdom","GBR","2001","Europe","59288095","0.578","0.729","0.151","9.75","12.3","2.55","net_importer","-2","54","826"
"United States","USA","2001","North America","284279634","5.904","6.149","0.245","20.77","21.63","0.86","net_importer","-98","39","840"
"Vietnam","VNM","2001","Asia","77969357","0.061","0.042","-0.019","0.78","0.54","-0.24","net_exporter","108","16","704"
"Argentina","ARG","2002","South America","38029345","0.125","0.082","-0.043","3.29","2.17","-1.12","net_exporter","-64","-34","032"
"Australia","AUS","2002","Oceania","19595356","0.362","0.321","-0.041","18.5","16.38","-2.12","net_exporter","134","-25","036"
"Austria","AUT","2002","Europe","8081640","0.072","0.096","0.024","8.91","11.92","3.01","net_importer","14","47","040"
"Bangladesh","BGD","2002","Asia","138933659","0.032","0.031","-0.001","0.23","0.22","-0.01","balanced","90","24","050"
"Belgium","BEL","2002","Europe","10332975","0.127","0.201","0.074","12.28","19.44","7.16","net_importer","4","51","056"
"Brazil","BRA","2002","South America","178503485","0.348","0.338","-0.01","1.95","1.89","-0.06","balanced","-52","-10","076"
"Canada","CAN","2002","North America","31535579","0.564","0.586","0.022","17.89","18.57","0.68","net_importer","-106","56","124"
"Chile","CHL","2002","South America","15857926","0.055","0.059","0.004","3.46","3.71","0.25","net_importer","-71","-30","152"
"China","CHN","2002","Asia","1286866835","4.098","3.62","-0.478","3.18","2.81","-0.37","net_exporter","104","35","156"
"Czechia","CZE","2002","Europe","10239474","0.124","0.121","-0.003","12.11","11.78","-0.33","net_exporter","16","49","203"
"Denmark","DNK","2002","Europe","5375967","0.056","0.067","0.011","10.33","12.51","2.18","net_importer","10","56","208"
"Egypt","EGY","2002","Africa","76239140","0.128","0.12","-0.008","1.68","1.57","-0.11","balanced","30","27","818"
"Finland","FIN","2002","Europe","5200548","0.065","0.081","0.016","12.51","15.49","2.98","net_importer","26","64","246"
"France","FRA","2002","Europe","60327247","0.407","0.505","0.098","6.75","8.38","1.63","net_importer","2","46","250"
"Germany","DEU","2002","Europe","82068328","0.899","1.033","0.134","10.95","12.59","1.64","net_importer","10","51","276"
"Greece","GRC","2002","Europe","10890287","0.105","0.112","0.007","9.64","10.25","0.61","net_importer","22","39","300"
"Hungary","HUN","2002","Europe","10138461","0.059","0.073","0.014","5.8","7.16","1.36","net_importer","20","47","348"
"India","IND","2002","Asia","1097600380","1.033","0.937","-0.096","0.94","0.85","-0.09","balanced","78","22","356"
"Indonesia","IDN","2002","Asia","222088499","0.308","0.276","-0.032","1.39","1.24","-0.15","balanced","113","-2","360"
"Iran","IRN","2002","Middle East","68011318","0.397","0.301","-0.096","5.84","4.43","-1.41","net_exporter","53","32","364"
"Ireland","IRL","2002","Europe","3928441","0.046","0.057","0.011","11.73","14.4","2.67","net_importer","-8","53","372"
"Israel","ISR","2002","Middle East","6387714","0.059","0.07","0.011","9.28","10.95","1.67","net_importer","35","31","376"
"Italy","ITA","2002","Europe","57420636","0.477","0.581","0.104","8.31","10.11","1.8","net_importer","12","43","380"
"Japan","JPN","2002","Asia","127484599","1.275","1.531","0.256","10","12.01","2.01","net_importer","138","36","392"
"Kazakhstan","KAZ","2002","Asia","15656680","0.157","0.124","-0.033","10.01","7.92","-2.09","net_exporter","68","48","398"
"Malaysia","MYS","2002","Asia","24102477","0.132","0.119","-0.013","5.48","4.95","-0.53","net_exporter","102","4","458"
"Mexico","MEX","2002","North America","101548627","0.41","0.462","0.052","4.04","4.55","0.51","net_importer","-102","23","484"
"Netherlands","NLD","2002","Europe","16288060","0.177","0.15","-0.027","10.85","9.18","-1.67","net_exporter","5","52","528"
"New Zealand","NZL","2002","Oceania","3951116","0.035","0.035","0","8.74","8.86","0.12","balanced","174","-41","554"
"Nigeria","NGA","2002","Africa","133471995","0.09","0.071","-0.019","0.67","0.53","-0.14","balanced","8","9","566"
"Pakistan","PAK","2002","Asia","163222552","0.111","0.117","0.006","0.68","0.71","0.03","balanced","70","30","586"
