"country","iso3","year","region","population","production_co2","consumption_co2","net_embodied_carbon","production_co2_per_capita","consumption_co2_per_capita","net_embodied_carbon_per_capita","responsibility_type","longitude","latitude","iso_num"
"Italy","ITA","2009","Europe","59904016","0.424","0.578","0.154","7.08","9.65","2.57","net_importer","12","43","380"
"Japan","JPN","2009","Asia","128192471","1.16","1.375","0.215","9.05","10.73","1.68","net_importer","138","36","392"
"Kazakhstan","KAZ","2009","Asia","16619851","0.223","0.182","-0.041","13.43","10.97","-2.46","net_exporter","68","48","398"
"Malaysia","MYS","2009","Asia","28124779","0.192","0.165","-0.027","6.83","5.87","-0.96","net_exporter","102","4","458"
"Mexico","MEX","2009","North America","111999720","0.46","0.508","0.048","4.11","4.54","0.43","net_importer","-102","23","484"
"Netherlands","NLD","2009","Europe","16684148","0.17","0.187","0.017","10.22","11.2","0.98","net_importer","5","52","528"
"New Zealand","NZL","2009","Oceania","4304304","0.035","0.037","0.002","8.04","8.66","0.62","net_importer","174","-41","554"
"Nigeria","NGA","2009","Africa","162049466","0.077","0.093","0.016","0.48","0.58","0.1","balanced","8","9","566"
"Norway","NOR","2009","Europe","4828625","0.043","0.056","0.013","8.93","11.54","2.61","net_importer","8","61","578"
"Pakistan","PAK","2009","Asia","194376535","0.148","0.163","0.015","0.76","0.84","0.08","balanced","70","30","586"
"Philippines","PHL","2009","Asia","94384256","0.076","0.095","0.019","0.8","1","0.2","net_importer","122","13","608"
"Poland","POL","2009","Europe","38002153","0.316","0.31","-0.006","8.31","8.15","-0.16","balanced","20","52","616"
"Portugal","PRT","2009","Europe","10576265","0.057","0.099","0.042","5.4","9.32","3.92","net_importer","-8","39","620"
"Romania","ROU","2009","Europe","20576922","0.088","0.092","0.004","4.27","4.45","0.18","balanced","25","46","642"
"Russia","RUS","2009","Europe/Asia","143869128","1.545","1.232","-0.313","10.74","8.56","-2.18","net_exporter","90","60","643"
"Saudi Arabia","SAU","2009","Middle East","24217656","0.504","0.48","-0.024","20.81","19.81","-1","net_exporter","45","24","682"
"South Africa","ZAF","2009","Africa","51728518","0.475","0.354","-0.121","9.17","6.83","-2.34","net_exporter","24","-29","710"
"South Korea","KOR","2009","Asia","48546690","0.538","0.574","0.036","11.08","11.82","0.74","net_importer","128","36","410"
"Spain","ESP","2009","Europe","46635182","0.296","0.344","0.048","6.35","7.39","1.04","net_importer","-4","40","724"
"Sweden","SWE","2009","Europe","9298738","0.047","0.074","0.027","5.07","7.98","2.91","net_importer","15","62","752"
"Switzerland","CHE","2009","Europe","7737644","0.044","0.121","0.077","5.63","15.58","9.95","net_importer","8","47","756"
"Thailand","THA","2009","Asia","68121077","0.229","0.231","0.002","3.36","3.4","0.04","balanced","101","15","764"
"Turkey","TUR","2009","Europe/Asia","72464846","0.319","0.336","0.017","4.4","4.63","0.23","net_importer","35","39","792"
"Ukraine","UKR","2009","Europe","46623731","0.278","0.248","-0.03","5.95","5.31","-0.64","net_exporter","31","49","804"
"United Arab Emirates","ARE","2009","Middle East","6707063","0.169","0.213","0.044","25.21","31.77","6.56","net_importer","54","24","784"
"United Kingdom","GBR","2009","Europe","62506222","0.494","0.642","0.148","7.9","10.27","2.37","net_importer","-2","54","826"
"United States","USA","2009","North America","308023452","5.486","5.726","0.24","17.81","18.59","0.78","net_importer","-98","39","840"
"Vietnam","VNM","2009","Asia","86460023","0.124","0.099","-0.025","1.44","1.15","-0.29","net_exporter","108","16","704"
"Argentina","ARG","2010","South America","41288694","0.186","0.178","-0.008","4.51","4.31","-0.2","net_exporter","-64","-34","032"
"Australia","AUS","2010","Oceania","22141583","0.405","0.399","-0.006","18.29","18.03","-0.26","net_exporter","134","-25","036"
"Austria","AUT","2010","Europe","8365087","0.072","0.095","0.023","8.61","11.38","2.77","net_importer","14","47","040"
"Bangladesh","BGD","2010","Asia","152201978","0.054","0.054","0","0.36","0.35","-0.01","balanced","90","24","050"
"Belgium","BEL","2010","Europe","10936619","0.115","0.207","0.092","10.48","18.93","8.45","net_importer","4","51","056"
"Brazil","BRA","2010","South America","193701931","0.44","0.479","0.039","2.27","2.47","0.2","net_importer","-52","-10","076"
"Canada","CAN","2010","North America","34196900","0.554","0.619","0.065","16.21","18.09","1.88","net_importer","-106","56","124"
"Chile","CHL","2010","South America","17181463","0.071","0.077","0.006","4.15","4.46","0.31","net_importer","-71","-30","152"
"China","CHN","2010","Asia","1351561505","8.61","7.261","-1.349","6.37","5.37","-1","net_exporter","104","35","156"
"Czechia","CZE","2010","Europe","10464035","0.117","0.124","0.007","11.23","11.83","0.6","net_importer","16","49","203"
"Denmark","DNK","2010","Europe","5547865","0.049","0.067","0.018","8.87","12.1","3.23","net_importer","10","56","208"
"Egypt","EGY","2010","Africa","89196073","0.203","0.203","0","2.27","2.27","0","balanced","30","27","818"
"Finland","FIN","2010","Europe","5363347","0.064","0.087","0.023","11.95","16.26","4.31","net_importer","26","64","246"
"France","FRA","2010","Europe","63417366","0.377","0.511","0.134","5.95","8.06","2.11","net_importer","2","46","250"
"Germany","DEU","2010","Europe","80830916","0.827","1.027","0.2","10.23","12.71","2.48","net_importer","10","51","276"
"Greece","GRC","2010","Europe","11124666","0.097","0.108","0.011","8.75","9.74","0.99","net_importer","22","39","300"
"Hungary","HUN","2010","Europe","9979128","0.052","0.071","0.019","5.21","7.12","1.91","net_importer","20","47","348"
"India","IND","2010","Asia","1243481565","1.679","1.571","-0.108","1.35","1.26","-0.09","balanced","78","22","356"
"Indonesia","IDN","2010","Asia","246305327","0.445","0.435","-0.01","1.81","1.77","-0.04","balanced","113","-2","360"
"Iran","IRN","2010","Middle East","77420851","0.561","0.477","-0.084","7.25","6.15","-1.1","net_exporter","53","32","364"
"Ireland","IRL","2010","Europe","4559084","0.042","0.047","0.005","9.17","10.38","1.21","net_importer","-8","53","372"
"Israel","ISR","2010","Middle East","7336735","0.068","0.086","0.018","9.31","11.71","2.4","net_importer","35","31","376"
"Italy","ITA","2010","Europe","60164212","0.436","0.624","0.188","7.24","10.38","3.14","net_importer","12","43","380"
"Japan","JPN","2010","Asia","128185273","1.211","1.422","0.211","9.45","11.09","1.64","net_importer","138","36","392"
"Kazakhstan","KAZ","2010","Asia","16836808","0.248","0.162","-0.086","14.74","9.64","-5.1","net_exporter","68","48","398"
"Malaysia","MYS","2010","Asia","28655772","0.199","0.187","-0.012","6.96","6.52","-0.44","net_exporter","102","4","458"
"Mexico","MEX","2010","North America","113623898","0.456","0.525","0.069","4.02","4.62","0.6","net_importer","-102","23","484"
"Netherlands","NLD","2010","Europe","16771232","0.182","0.211","0.029","10.88","12.58","1.7","net_importer","5","52","528"
"New Zealand","NZL","2010","Oceania","4347766","0.035","0.038","0.003","8","8.79","0.79","net_importer","174","-41","554"
"Nigeria","NGA","2010","Africa","166642888","0.112","0.114","0.002","0.67","0.68","0.01","balanced","8","9","566"
"Norway","NOR","2010","Europe","4889160","0.046","0.061","0.015","9.34","12.43","3.09","net_importer","8","61","578"
"Pakistan","PAK","2010","Asia","199239048","0.148","0.162","0.014","0.74","0.81","0.07","balanced","70","30","586"
"Philippines","PHL","2010","Asia","96337127","0.082","0.104","0.022","0.85","1.08","0.23","net_importer","122","13","608"
"Poland","POL","2010","Europe","38095356","0.334","0.33","-0.004","8.77","8.65","-0.12","balanced","20","52","616"
"Portugal","PRT","2010","Europe","10578659","0.053","0.099","0.046","5","9.34","4.34","net_importer","-8","39","620"
"Romania","ROU","2010","Europe","20432575","0.084","0.091","0.007","4.13","4.44","0.31","net_importer","25","46","642"
"Russia","RUS","2010","Europe/Asia","143934468","1.633","1.302","-0.331","11.35","9.04","-2.31","net_exporter","90","60","643"
"Saudi Arabia","SAU","2010","Middle East","25157134","0.556","0.52","-0.036","22.09","20.67","-1.42","net_exporter","45","24","682"
"South Africa","ZAF","2010","Africa","52344047","0.467","0.35","-0.117","8.93","6.69","-2.24","net_exporter","24","-29","710"
"South Korea","KOR","2010","Asia","48769329","0.594","0.655","0.061","12.19","13.42","1.23","net_importer","128","36","410"
"Spain","ESP","2010","Europe","46840469","0.283","0.329","0.046","6.03","7.02","0.99","net_importer","-4","40","724"
"Sweden","SWE","2010","Europe","9378234","0.053","0.083","0.03","5.65","8.88","3.23","net_importer","15","62","752"
"Switzerland","CHE","2010","Europe","7825750","0.045","0.113","0.068","5.75","14.49","8.74","net_importer","8","47","756"
"Thailand","THA","2010","Asia","68579443","0.241","0.257","0.016","3.51","3.75","0.24","net_importer","101","15","764"
"Turkey","TUR","2010","Europe/Asia","73346766","0.319","0.366","0.047","4.35","4.99","0.64","net_importer","35","39","792"
"Ukraine","UKR","2010","Europe","46455997","0.294","0.237","-0.057","6.34","5.1","-1.24","net_exporter","31","49","804"
"United Arab Emirates","ARE","2010","Middle East","6938372","0.186","0.217","0.031","26.79","31.21","4.42","net_importer","54","24","784"
"United Kingdom","GBR","2010","Europe","63006482","0.512","0.687","0.175","8.12","10.9","2.78","net_importer","-2","54","826"
"United States","USA","2010","North America","311062785","5.669","5.89","0.221","18.23","18.93","0.7","net_importer","-98","39","840"
"Vietnam","VNM","2010","Asia","87455148","0.14","0.108","-0.032","1.6","1.24","-0.36","net_exporter","108","16","704"
"Argentina","ARG","2011","South America","41730655","0.19","0.199","0.009","4.55","4.76","0.21","net_importer","-64","-34","032"
"Australia","AUS","2011","Oceania","22479779","0.404","0.399","-0.005","17.97","17.76","-0.21","net_exporter","134","-25","036"
"Austria","AUT","2011","Europe","8393272","0.07","0.097","0.027","8.33","11.6","3.27","net_importer","14","47","040"
"Bangladesh","BGD","2011","Asia","153591074","0.056","0.054","-0.002","0.36","0.35","-0.01","balanced","90","24","050"
"Belgium","BEL","2011","Europe","11038624","0.105","0.214","0.109","9.53","19.38","9.85","net_importer","4","51","056"
"Brazil","BRA","2011","South America","195284736","0.462","0.509","0.047","2.37","2.61","0.24","net_importer","-52","-10","076"
"Canada","CAN","2011","North America","34555449","0.563","0.617","0.054","16.29","17.84","1.55","net_importer","-106","56","124"
"Chile","CHL","2011","South America","17351810","0.078","0.088","0.01","4.5","5.09","0.59","net_importer","-71","-30","152"
"China","CHN","2011","Asia","1360250658","9.52","8.057","-1.463","7","5.92","-1.08","net_exporter","104","35","156"
"Czechia","CZE","2011","Europe","10495508","0.115","0.12","0.005","10.97","11.41","0.44","net_importer","16","49","203"
"Denmark","DNK","2011","Europe","5570848","0.044","0.065","0.021","7.94","11.59","3.65","net_importer","10","56","208"
"Egypt","EGY","2011","Africa","91093066","0.222","0.218","-0.004","2.43","2.39","-0.04","balanced","30","27","818"
"Finland","FIN","2011","Europe","5388236","0.057","0.074","0.017","10.51","13.68","3.17","net_importer","26","64","246"
"France","FRA","2011","Europe","63733776","0.355","0.51","0.155","5.57","8","2.43","net_importer","2","46","250"
"Germany","DEU","2011","Europe","80857877","0.805","0.989","0.184","9.95","12.23","2.28","net_importer","10","51","276"
"Greece","GRC","2011","Europe","11108838","0.095","0.101","0.006","8.51","9.12","0.61","net_importer","22","39","300"
"Hungary","HUN","2011","Europe","9946675","0.05","0.07","0.02","5.04","7.05","2.01","net_importer","20","47","348"
"India","IND","2011","Asia","1261224956","1.766","1.624","-0.142","1.4","1.29","-0.11","balanced","78","22","356"
"Indonesia","IDN","2011","Asia","249470029","0.5","0.492","-0.008","2.01","1.97","-0.04","balanced","113","-2","360"
"Iran","IRN","2011","Middle East","78383602","0.576","0.483","-0.093","7.35","6.16","-1.19","net_exporter","53","32","364"
"Ireland","IRL","2011","Europe","4579603","0.038","0.045","0.007","8.31","9.88","1.57","net_importer","-8","53","372"
"Israel","ISR","2011","Middle East","7471023","0.069","0.089","0.02","9.18","11.89","2.71","net_importer","35","31","376"
"Italy","ITA","2011","Europe","60367882","0.424","0.571","0.147","7.02","9.46","2.44","net_importer","12","43","380"
"Japan","JPN","2011","Asia","128096430","1.261","1.501","0.24","9.85","11.72","1.87","net_importer","138","36","392"
"Kazakhstan","KAZ","2011","Asia","17065996","0.238","0.151","-0.087","13.96","8.83","-5.13","net_exporter","68","48","398"
"Malaysia","MYS","2011","Asia","29162034","0.203","0.2","-0.003","6.98","6.86","-0.12","balanced","102","4","458"
"Mexico","MEX","2011","North America","115243503","0.483","0.565","0.082","4.19","4.9","0.71","net_importer","-102","23","484"
"Netherlands","NLD","2011","Europe","16851061","0.169","0.201","0.032","10.05","11.92","1.87","net_importer","5","52","528"
"New Zealand","NZL","2011","Oceania","4382699","0.034","0.039","0.005","7.81","8.93","1.12","net_importer","174","-41","554"
"Nigeria","NGA","2011","Africa","171379602","0.126","0.121","-0.005","0.74","0.7","-0.04","balanced","8","9","566"
"Norway","NOR","2011","Europe","4952969","0.045","0.056","0.011","9.04","11.35","2.31","net_importer","8","61","578"
"Pakistan","PAK","2011","Asia","203746069","0.149","0.165","0.016","0.73","0.81","0.08","balanced","70","30","586"
"Philippines","PHL","2011","Asia","98248614","0.083","0.111","0.028","0.84","1.13","0.29","net_importer","122","13","608"
"Poland","POL","2011","Europe","38208644","0.333","0.325","-0.008","8.73","8.52","-0.21","net_exporter","20","52","616"
"Portugal","PRT","2011","Europe","10557050","0.052","0.064","0.012","4.91","6.09","1.18","net_importer","-8","39","620"
"Romania","ROU","2011","Europe","20282009","0.092","0.094","0.002","4.56","4.66","0.1","balanced","25","46","642"
"Russia","RUS","2011","Europe/Asia","144043751","1.685","1.361","-0.324","11.7","9.45","-2.25","net_exporter","90","60","643"
"Saudi Arabia","SAU","2011","Middle East","26105636","0.54","0.502","-0.038","20.69","19.25","-1.44","net_exporter","45","24","682"
"South Africa","ZAF","2011","Africa","52995212","0.474","0.353","-0.121","8.95","6.67","-2.28","net_exporter","24","-29","710"
"South Korea","KOR","2011","Asia","49127640","0.623","0.683","0.06","12.69","13.9","1.21","net_importer","128","36","410"
"Spain","ESP","2011","Europe","46998040","0.283","0.321","0.038","6.03","6.84","0.81","net_importer","-4","40","724"
"Sweden","SWE","2011","Europe","9449263","0.049","0.082","0.033","5.2","8.69","3.49","net_importer","15","62","752"
"Switzerland","CHE","2011","Europe","7914379","0.041","0.128","0.087","5.18","16.12","10.94","net_importer","8","47","756"
"Thailand","THA","2011","Asia","69007212","0.245","0.265","0.02","3.55","3.83","0.28","net_importer","101","15","764"
"Turkey","TUR","2011","Europe/Asia","74215203","0.344","0.401","0.057","4.64","5.4","0.76","net_importer","35","39","792"
"Ukraine","UKR","2011","Europe","46307854","0.308","0.266","-0.042","6.66","5.73","-0.93","net_exporter","31","49","804"
"United Arab Emirates","ARE","2011","Middle East","7199436","0.199","0.232","0.033","27.57","32.22","4.65","net_importer","54","24","784"
"United Kingdom","GBR","2011","Europe","63509285","0.47","0.627","0.157","7.4","9.87","2.47","net_importer","-2","54","826"
"United States","USA","2011","North America","314105075","5.539","5.737","0.198","17.63","18.27","0.64","net_importer","-98","39","840"
"Vietnam","VNM","2011","Asia","88468315","0.153","0.114","-0.039","1.72","1.29","-0.43","net_exporter","108","16","704"
"Argentina","ARG","2012","South America","42161718","0.192","0.199","0.007","4.55","4.72","0.17","balanced","-64","-34","032"
"Australia","AUS","2012","Oceania","22852648","0.405","0.413","0.008","17.72","18.08","0.36","net_importer","134","-25","036"
"Austria","AUT","2012","Europe","8431599","0.067","0.092","0.025","7.98","10.93","2.95","net_importer","14","47","040"
"Bangladesh","BGD","2012","Asia","155070110","0.06","0.059","-0.001","0.39","0.38","-0.01","balanced","90","24","050"
"Belgium","BEL","2012","Europe","11107522","0.102","0.197","0.095","9.23","17.7","8.47","net_importer","4","51","056"
"Brazil","BRA","2012","South America","196876113","0.497","0.535","0.038","2.53","2.72","0.19","balanced","-52","-10","076"
"Canada","CAN","2012","North America","34922513","0.562","0.614","0.052","16.09","17.59","1.5","net_importer","-106","56","124"
"Chile","CHL","2012","South America","17519116","0.08","0.095","0.015","4.54","5.42","0.88","net_importer","-71","-30","152"
"China","CHN","2012","Asia","1369520866","9.767","8.343","-1.424","7.13","6.09","-1.04","net_exporter","104","35","156"
"Czechia","CZE","2012","Europe","10507339","0.111","0.11","-0.001","10.59","10.45","-0.14","balanced","16","49","203"
"Denmark","DNK","2012","Europe","5591911","0.04","0.059","0.019","7.13","10.46","3.33","net_importer","10","56","208"
"Egypt","EGY","2012","Africa","93161000","0.213","0.224","0.011","2.28","2.4","0.12","balanced","30","27","818"
"Finland","FIN","2012","Europe","5413978","0.051","0.071","0.02","9.45","13.03","3.58","net_importer","26","64","246"
"France","FRA","2012","Europe","64058465","0.358","0.48","0.122","5.59","7.49","1.9","net_importer","2","46","250"
"Germany","DEU","2012","Europe","80916391","0.814","0.932","0.118","10.06","11.52","1.46","net_importer","10","51","276"
"Greece","GRC","2012","Europe","11048291","0.091","0.093","0.002","8.27","8.38","0.11","balanced","22","39","300"
"Hungary","HUN","2012","Europe","9916621","0.047","0.063","0.016","4.71","6.4","1.69","net_importer","20","47","348"
"India","IND","2012","Asia","1278674501","1.927","1.782","-0.145","1.51","1.39","-0.12","balanced","78","22","356"
"Indonesia","IDN","2012","Asia","252698525","0.516","0.524","0.008","2.04","2.07","0.03","balanced","113","-2","360"
"Iran","IRN","2012","Middle East","79370583","0.599","0.556","-0.043","7.55","7","-0.55","net_exporter","53","32","364"
"Ireland","IRL","2012","Europe","4600135","0.038","0.045","0.007","8.31","9.84","1.53","net_importer","-8","53","372"
"Israel","ISR","2012","Middle East","7607781","0.075","0.095","0.02","9.83","12.43","2.6","net_importer","35","31","376"
"Italy","ITA","2012","Europe","60531522","0.403","0.536","0.133","6.67","8.86","2.19","net_importer","12","43","380"
"Japan","JPN","2012","Asia","127928283","1.302","1.541","0.239","10.18","12.05","1.87","net_importer","138","36","392"
"Kazakhstan","KAZ","2012","Asia","17306115","0.245","0.185","-0.06","14.17","10.7","-3.47","net_exporter","68","48","398"
"Malaysia","MYS","2012","Asia","29662835","0.213","0.223","0.01","7.18","7.5","0.32","net_importer","102","4","458"
"Mexico","MEX","2012","North America","116818208","0.501","0.58","0.079","4.29","4.96","0.67","net_importer","-102","23","484"
"Netherlands","NLD","2012","Europe","16915191","0.166","0.177","0.011","9.8","10.46","0.66","net_importer","5","52","528"
"New Zealand","NZL","2012","Oceania","4411682","0.036","0.041","0.005","8.14","9.3","1.16","net_importer","174","-41","554"
"Nigeria","NGA","2012","Africa","176200627","0.11","0.104","-0.006","0.62","0.59","-0.03","balanced","8","9","566"
"Norway","NOR","2012","Europe","5018453","0.044","0.053","0.009","8.82","10.54","1.72","net_importer","8","61","578"
"Pakistan","PAK","2012","Asia","207667129","0.151","0.168","0.017","0.72","0.81","0.09","balanced","70","30","586"
"Philippines","PHL","2012","Asia","100175511","0.087","0.12","0.033","0.87","1.2","0.33","net_importer","122","13","608"
"Poland","POL","2012","Europe","38247867","0.326","0.321","-0.005","8.52","8.39","-0.13","balanced","20","52","616"
"Portugal","PRT","2012","Europe","10513155","0.05","0.051","0.001","4.75","4.87","0.12","balanced","-8","39","620"
"Romania","ROU","2012","Europe","20158451","0.09","0.088","-0.002","4.46","4.36","-0.1","balanced","25","46","642"
"Russia","RUS","2012","Europe/Asia","144291025","1.7","1.421","-0.279","11.78","9.85","-1.93","net_exporter","90","60","643"
"Saudi Arabia","SAU","2012","Middle East","27062447","0.606","0.574","-0.032","22.38","21.22","-1.16","net_exporter","45","24","682"
"South Africa","ZAF","2012","Africa","53782570","0.461","0.35","-0.111","8.58","6.52","-2.06","net_exporter","24","-29","710"
"South Korea","KOR","2012","Asia","49599580","0.628","0.665","0.037","12.66","13.41","0.75","net_importer","128","36","410"
"Spain","ESP","2012","Europe","47018323","0.277","0.289","0.012","5.9","6.14","0.24","net_importer","-4","40","724"
"Sweden","SWE","2012","Europe","9519477","0.047","0.075","0.028","4.9","7.88","2.98","net_importer","15","62","752"
"Switzerland","CHE","2012","Europe","7998927","0.042","0.175","0.133","5.28","21.92","16.64","net_importer","8","47","756"
"Thailand","THA","2012","Asia","69436091","0.262","0.287","0.025","3.78","4.13","0.35","net_importer","101","15","764"
"Turkey","TUR","2012","Europe/Asia","75197196","0.359","0.407","0.048","4.77","5.42","0.65","net_importer","35","39","792"
"Ukraine","UKR","2012","Europe","46210051","0.304","0.258","-0.046","6.59","5.58","-1.01","net_exporter","31","49","804"
"United Arab Emirates","ARE","2012","Middle East","7497122","0.208","0.241","0.033","27.79","32.17","4.38","net_importer","54","24","784"
"United Kingdom","GBR","2012","Europe","63960488","0.487","0.641","0.154","7.62","10.01","2.39","net_importer","-2","54","826"
"United States","USA","2012","North America","317115349","5.331","5.55","0.219","16.81","17.5","0.69","net_importer","-98","39","840"
"Vietnam","VNM","2012","Asia","89510355","0.144","0.107","-0.037","1.61","1.2","-0.41","net_exporter","108","16","704"
"Argentina","ARG","2013","South America","42582453","0.19","0.204","0.014","4.45","4.78","0.33","net_importer","-64","-34","032"
"Australia","AUS","2013","Oceania","23236271","0.398","0.386","-0.012","17.12","16.62","-0.5","net_exporter","134","-25","036"
"Austria","AUT","2013","Europe","8481411","0.068","0.091","0.023","7.99","10.75","2.76","net_importer","14","47","040"
"Bangladesh","BGD","2013","Asia","156532134","0.065","0.064","-0.001","0.41","0.41","0","balanced","90","24","050"
"Belgium","BEL","2013","Europe","11160277","0.103","0.207","0.104","9.21","18.53","9.32","net_importer","4","51","056"
"Brazil","BRA","2013","South America","198478290","0.532","0.596","0.064","2.68","3","0.32","net_importer","-52","-10","076"
"Canada","CAN","2013","North America","35293421","0.569","0.617","0.048","16.11","17.47","1.36","net_importer","-106","56","124"
"Chile","CHL","2013","South America","17687006","0.082","0.093","0.011","4.62","5.24","0.62","net_importer","-71","-30","152"
"China","CHN","2013","Asia","1379008040","9.942","8.627","-1.315","7.21","6.26","-0.95","net_exporter","104","35","156"
"Czechia","CZE","2013","Europe","10511164","0.107","0.11","0.003","10.15","10.48","0.33","net_importer","16","49","203"
"Denmark","DNK","2013","Europe","5615333","0.042","0.057","0.015","7.44","10.1","2.66","net_importer","10","56","208"
"Egypt","EGY","2013","Africa","95333551","0.219","0.224","0.005","2.3","2.35","0.05","balanced","30","27","818"
"Finland","FIN","2013","Europe","5439057","0.052","0.067","0.015","9.51","12.4","2.89","net_importer","26","64","246"
"France","FRA","2013","Europe","64387736","0.36","0.483","0.123","5.59","7.51","1.92","net_importer","2","46","250"
"Germany","DEU","2013","Europe","81041581","0.832","0.93","0.098","10.26","11.47","1.21","net_importer","10","51","276"
"Greece","GRC","2013","Europe","10967534","0.082","0.084","0.002","7.45","7.66","0.21","net_importer","22","39","300"
"Hungary","HUN","2013","Europe","9889344","0.043","0.059","0.016","4.4","6.01","1.61","net_importer","20","47","348"
"India","IND","2013","Asia","1295829507","1.995","1.638","-0.357","1.54","1.26","-0.28","net_exporter","78","22","356"
"Indonesia","IDN","2013","Asia","255852464","0.493","0.51","0.017","1.93","1.99","0.06","balanced","113","-2","360"
"Iran","IRN","2013","Middle East","80414689","0.61","0.486","-0.124","7.59","6.04","-1.55","net_exporter","53","32","364"
"Ireland","IRL","2013","Europe","4624686","0.037","0.044","0.007","8.06","9.52","1.46","net_importer","-8","53","372"
"Israel","ISR","2013","Middle East","7749369","0.063","0.085","0.022","8.14","10.91","2.77","net_importer","35","31","376"
"Italy","ITA","2013","Europe","60653864","0.369","0.489","0.12","6.09","8.06","1.97","net_importer","12","43","380"
"Japan","JPN","2013","Asia","127723642","1.312","1.487","0.175","10.27","11.64","1.37","net_importer","138","36","392"
"Kazakhstan","KAZ","2013","Asia","17556502","0.254","0.201","-0.053","14.44","11.43","-3.01","net_exporter","68","48","398"
"Malaysia","MYS","2013","Asia","30174269","0.242","0.251","0.009","8.01","8.32","0.31","net_importer","102","4","458"
"Mexico","MEX","2013","North America","118343572","0.495","0.59","0.095","4.19","4.98","0.79","net_importer","-102","23","484"
"Netherlands","NLD","2013","Europe","16967066","0.165","0.178","0.013","9.72","10.52","0.8","net_importer","5","52","528"
"New Zealand","NZL","2013","Oceania","4453857","0.035","0.041","0.006","7.91","9.12","1.21","net_importer","174","-41","554"
"Nigeria","NGA","2013","Africa","181049440","0.117","0.132","0.015","0.65","0.73","0.08","balanced","8","9","566"
"Norway","NOR","2013","Europe","5080126","0.045","0.053","0.008","8.77","10.53","1.76","net_importer","8","61","578"
"Pakistan","PAK","2013","Asia","211073979","0.148","0.165","0.017","0.7","0.78","0.08","balanced","70","30","586"
"Philippines","PHL","2013","Asia","102076334","0.095","0.13","0.035","0.93","1.27","0.34","net_importer","122","13","608"
"Poland","POL","2013","Europe","38259267","0.322","0.304","-0.018","8.41","7.95","-0.46","net_exporter","20","52","616"
"Portugal","PRT","2013","Europe","10458287","0.048","0.051","0.003","4.6","4.87","0.27","net_importer","-8","39","620"
"Romania","ROU","2013","Europe","20062913","0.079","0.077","-0.002","3.93","3.86","-0.07","balanced","25","46","642"
"Russia","RUS","2013","Europe/Asia","144604105","1.638","1.383","-0.255","11.32","9.56","-1.76","net_exporter","90","60","643"
"Saudi Arabia","SAU","2013","Middle East","28026825","0.583","0.57","-0.013","20.81","20.34","-0.47","net_exporter","45","24","682"
"South Africa","ZAF","2013","Africa","54678789","0.456","0.357","-0.099","8.34","6.53","-1.81","net_exporter","24","-29","710"
"South Korea","KOR","2013","Asia","50071168","0.635","0.67","0.035","12.67","13.38","0.71","net_importer","128","36","410"
"Spain","ESP","2013","Europe","46860394","0.252","0.311","0.059","5.38","6.64","1.26","net_importer","-4","40","724"
"Sweden","SWE","2013","Europe","9600620","0.045","0.073","0.028","4.7","7.55","2.85","net_importer","15","62","752"
"Switzerland","CHE","2013","Europe","8091199","0.043","0.153","0.11","5.34","18.93","13.59","net_importer","8","47","756"
"Thailand","THA","2013","Asia","69845112","0.264","0.295","0.031","3.78","4.23","0.45","net_importer","101","15","764"
"Turkey","TUR","2013","Europe/Asia","76403032","0.351","0.404","0.053","4.59","5.29","0.7","net_importer","35","39","792"
"Ukraine","UKR","2013","Europe","46126760","0.298","0.252","-0.046","6.45","5.46","-0.99","net_exporter","31","49","804"
"United Arab Emirates","ARE","2013","Middle East","7831851","0.214","0.259","0.045","27.35","33.02","5.67","net_importer","54","24","784"
"United Kingdom","GBR","2013","Europe","64389386","0.478","0.625","0.147","7.42","9.7","2.28","net_importer","-2","54","826"
"United States","USA","2013","North America","320110752","5.473","5.638","0.165","17.1","17.61","0.51","net_importer","-98","39","840"
"Vietnam","VNM","2013","Asia","90573103","0.151","0.122","-0.029","1.67","1.35","-0.32","net_exporter","108","16","704"
"Argentina","ARG","2014","South America","43024071","0.189","0.192","0.003","4.38","4.46","0.08","balanced","-64","-34","032"
"Australia","AUS","2014","Oceania","23595599","0.393","0.385","-0.008","16.64","16.3","-0.34","net_exporter","134","-25","036"
"Austria","AUT","2014","Europe","8547812","0.064","0.092","0.028","7.51","10.76","3.25","net_importer","14","47","040"
"Bangladesh","BGD","2014","Asia","157964931","0.068","0.107","0.039","0.43","0.68","0.25","net_importer","90","24","050"
"Belgium","BEL","2014","Europe","11210113","0.097","0.207","0.11","8.66","18.47","9.81","net_importer","4","51","056"
"Brazil","BRA","2014","South America","200085126","0.557","0.613","0.056","2.78","3.07","0.29","net_importer","-52","-10","076"
"Canada","CAN","2014","North America","35634265","0.565","0.599","0.034","15.85","16.81","0.96","net_importer","-106","56","124"
"Chile","CHL","2014","South America","17864192","0.078","0.085","0.007","4.34","4.79","0.45","net_importer","-71","-30","152"
"China","CHN","2014","Asia","1387951970","9.976","8.72","-1.256","7.19","6.28","-0.91","net_exporter","104","35","156"
"Czechia","CZE","2014","Europe","10517223","0.104","0.105","0.001","9.91","10.01","0.1","balanced","16","49","203"
"Denmark","DNK","2014","Europe","5643795","0.038","0.055","0.017","6.66","9.83","3.17","net_importer","10","56","208"
